,index,CS Category No.,CS Category One Name,Computer Concepts No.,Parent Category,Computational Concepts,Computer Concept Sub No.,CS Category 3 Lesson,Learning Objective No.,Computational Thinking,Secondary Computational Thinking,Essential Prereq,Voluntary Prereq,Learning Objectives,col1,GCSE,TS,MC,JC,SC,Primary Stage,col2,col3,National Curriculum KS1,National Curriculum KS2,National Curriculum KS3,National Curriculum KS4,AS Level,A Level,Essential Preequisites,Voluntary Prerequisites,Recommended Key Stage Content No.,Recommended Key Stage Content (Text),Python Course,Level Assessment Qs.,Column21,Column22,Column23,Column24,uid,Essential Prereq uid,Voluntary Prereq uid
0,0,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_1,Common Knowledge,CKT1_1_1_1,Pattern Recognition,,,,Recognise different types of technology and their uses.,,,TS1.1,,,,,,,NC_KS1_5,,,,,,,,,,,,,,,,4a3c65e6-25ff-45b7-bee6-7a7d5364eb4b,,
1,1,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_1,Common Knowledge,CKT1_1_1_2,Abstraction,,CKT1_1_1_1,,"Explain the concept of a epoch, a particular period of time in history or a person's life.",,,,,,,,,,,,,,,,,,,,,,,,,,a7d884d2-0090-4432-81ff-5dd9c3d4a29b,4a3c65e6-25ff-45b7-bee6-7a7d5364eb4b,
2,2,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_1,Common Knowledge,CKT1_1_1_3,Abstraction,,CKT1_1_1_2,,Explain the concept of turning at an angle from your current orientation.,,,,,,,,,,,,,,,,,,,,,,,,,,0ece5e71-c6ef-4a3d-b656-943044e27e85,a7d884d2-0090-4432-81ff-5dd9c3d4a29b,
3,3,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_1,Common Knowledge,CKT1_1_1_4,Pattern Recognition,,CKT1_1_1_3,,Be able to find common angles from the view of two conjoining lines.,,,,,,,,,,,,,,,,,,,,,,,,,,cecc7dd7-74bb-45ea-9667-e903e21b3066,0ece5e71-c6ef-4a3d-b656-943044e27e85,
4,4,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_1,Common Knowledge,CKT1_1_1_5,Pattern Recognition,,CKT1_1_1_4,,"Explain the features that make up a circle (centre, radius, diameter).",,,,,,,,,,,,,,,,,,,,,,,,,,48a3f8ee-88d2-4888-88bb-9e9fb43326fa,cecc7dd7-74bb-45ea-9667-e903e21b3066,
5,5,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_1,Common Knowledge,CKT1_1_1_6,Abstraction,,CKT1_1_1_5,,Explain that an input or interface is a way to interact with a computer.,,,,,,,,,,,,,,,,,,,,,,,,,,7e525fde-7761-4be6-a697-2bdee5342e3b,48a3f8ee-88d2-4888-88bb-9e9fb43326fa,
6,6,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_2,Computer Knowledge,CKT1_1_2_1,Abstraction,,CKT1_1_1_6,,Explain that computer time is measure in total seconds from the last epoch (1st January 1970).,,,,,,,,,,,,,,,,,,,,,,,,,,79f42afc-0a1c-476c-8d57-5c212ee14281,7e525fde-7761-4be6-a697-2bdee5342e3b,
7,7,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_2,Computer Knowledge,CKT1_1_2_2,Abstraction,,CKT1_1_2_1,,Explain that typing and reading are measure in WPM (Word Per Minute).,,,,,,,,,,,,,,,,,,,,,,,,,,bb4cbf68-216a-4e67-884c-604465c3f67e,79f42afc-0a1c-476c-8d57-5c212ee14281,
8,8,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_2,Computer Knowledge,CKT1_1_2_3,Abstraction,,CKT1_1_2_2,,Explain an average and productive typing speed.,,,,,,,,,,,,,,,,,,,,,,,,,,6adca696-ffc9-4c9d-9631-b17ff192799d,bb4cbf68-216a-4e67-884c-604465c3f67e,
9,9,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_2,Computer Knowledge,CKT1_1_2_4,Data Representation,,CKT1_1_2_3,,Explain the concept of data.,,,,,,,,,,,,,,,,,,,,,,,,,,9449dd3f-e4c4-416d-b16e-7b53a7b38793,6adca696-ffc9-4c9d-9631-b17ff192799d,
10,10,GT1,Computer Systems,CS1_1,Computer Systems & General Knowledge,General Knowledge,CS1_1_2,Computer Knowledge,CKT1_1_2_5,Abstraction,,CKT1_1_2_4,,Explain the difference between human and computer time.,,,,,,,,,,,,,,,,,,,,,,,,,,0092f974-baa1-4a76-9b29-757104ad6b1b,9449dd3f-e4c4-416d-b16e-7b53a7b38793,
11,11,GT1,Computer Systems,CS1_3,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_1,Decomposition,,CKT1_1_2_5,,Explain that hardware is the physical portion of a computer.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,0092f974-baa1-4a76-9b29-757104ad6b1b,
12,12,GT1,Computer Systems,CS1_2,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_2,Decomposition,,CS1_2_1_1,,Recognise different types of hardware.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,52c363f9-fb96-43c3-a46f-27582da6868f,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
13,13,GT1,Computer Systems,CS1_2,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_3,Decomposition,,CS1_2_1_2,,Identify different pieces of hardware in Computer Systems.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,de27311f-4301-47ae-82c0-a6af52d3be7d,52c363f9-fb96-43c3-a46f-27582da6868f,
14,14,GT1,Computer Systems,CS1_4,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_4,Decomposition,,CS1_2_1_1,,Explain a motherboard and its role to connect all other ascpects of a system.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,768e6c78-fb07-4723-84a1-958bc73baf28,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
15,15,GT1,Computer Systems,CS1_5,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_5,Decomposition,,CS1_2_1_1,,Explain a power supply  and its role to supply a system with adequate power.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,ebdd68d5-7015-43cd-8603-ab0cb25d07b2,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
